media,frequencia,trabalhos_entregues,historico_reprovacao,risco
2.3,84,3,0,alto
7.9,76,2,1,moderado
8.5,99,1,1,alto
9.9,88,2,1,moderado
8.7,50,1,1,alto
8.9,68,4,0,moderado
3.1,64,2,0,alto
4.0,79,1,0,alto
2.7,63,3,0,alto
6.1,98,4,1,moderado
9.4,64,1,1,alto
3.4,76,5,1,alto
5.6,56,2,0,alto
3.0,95,3,1,alto
1.7,95,5,0,alto
2.0,89,2,1,alto
0.6,67,1,0,alto
9.5,52,4,0,alto
4.0,85,0,0,alto
8.3,71,2,1,moderado
6.8,99,5,0,moderado
1.9,84,2,0,alto
1.8,76,4,0,alto
8.1,99,3,1,baixo
2.6,90,1,0,alto
9.1,72,1,0,moderado
1.4,50,3,0,alto
6.8,54,0,0,alto
8.1,72,2,1,moderado
2.4,78,2,1,alto
2.8,51,5,0,alto
9.6,56,0,1,alto
2.6,85,5,0,alto
4.3,87,2,1,alto
4.3,51,3,0,alto
2.5,75,3,0,alto
7.8,54,1,0,alto
7.7,86,5,0,baixo
3.8,91,1,1,alto
8.4,93,0,1,alto
2.1,79,4,1,alto
0.0,81,3,0,alto
5.7,96,5,1,moderado
9.9,80,2,0,moderado
0.4,72,0,1,alto
2.1,87,0,1,alto
5.2,79,2,0,moderado
8.1,92,1,0,moderado
0.9,76,5,0,alto
4.0,93,0,1,alto
7.5,52,5,1,alto
3.7,51,1,0,alto
1.9,54,0,1,alto
2.0,77,1,1,alto
4.1,85,0,0,alto
4.8,60,2,1,alto
8.6,57,1,0,alto
6.4,93,3,1,moderado
6.9,87,3,0,moderado
9.8,82,0,1,alto
4.1,74,0,0,alto
4.0,71,0,0,alto
9.2,51,1,0,alto
2.5,59,0,1,alto
7.3,94,1,0,moderado
7.5,66,3,1,moderado
1.0,85,1,1,alto
4.7,85,1,1,alto
2.0,65,2,1,alto
1.9,60,3,1,alto
4.6,84,1,0,alto
2.9,54,1,1,alto
8.0,74,2,0,moderado
9.1,94,0,1,alto
8.0,85,2,0,moderado
2.7,88,5,1,alto
2.7,54,2,1,alto
2.5,59,0,0,alto
1.4,63,4,1,alto
9.4,64,0,0,alto
4.0,59,1,0,alto
2.2,98,0,1,alto
8.5,58,5,1,alto
4.0,85,5,0,alto
0.4,79,3,1,alto
1.6,80,3,1,alto
6.4,60,3,1,alto
7.8,65,3,1,moderado
2.1,80,3,0,alto
9.2,64,5,0,alto
8.5,84,4,1,baixo
8.5,51,0,1,alto
2.3,53,2,0,alto
0.5,86,5,1,alto
8.7,80,2,1,moderado
3.1,52,1,1,alto
6.2,94,5,0,moderado
7.6,50,3,0,alto
1.3,97,3,0,alto
7.8,86,2,1,moderado
9.4,99,0,1,alto
7.3,97,2,0,moderado
4.4,65,2,1,alto
8.8,87,5,1,baixo
5.3,60,1,0,alto
7.4,73,0,0,moderado
8.2,62,2,1,alto
7.5,74,5,1,moderado
2.9,93,2,1,alto
1.2,71,2,1,alto
2.4,54,4,0,alto
5.0,66,3,1,moderado
5.1,89,1,1,alto
5.8,76,5,0,moderado
4.0,78,3,0,alto
7.9,71,0,1,alto
9.1,64,2,1,alto
2.5,79,5,1,alto
7.4,81,2,0,moderado
6.8,94,3,0,moderado
5.2,80,3,1,moderado
1.9,99,4,1,alto
8.0,91,5,1,baixo
9.6,53,0,1,alto
7.2,69,3,0,moderado
9.2,69,3,1,moderado
9.8,50,0,0,alto
3.5,59,4,1,alto
6.4,88,0,0,moderado
4.7,67,2,1,alto
9.9,57,1,1,alto
0.9,64,0,1,alto
4.1,63,4,1,alto
8.8,58,1,1,alto
2.8,55,1,1,alto
7.9,88,5,0,baixo
3.8,91,5,0,alto
9.8,74,0,1,alto
8.8,80,1,1,alto
3.0,95,4,1,alto
7.7,92,4,1,baixo
3.4,51,5,1,alto
6.1,97,3,1,moderado
6.6,53,0,1,alto
8.3,51,5,1,alto
0.2,70,0,0,alto
2.2,87,0,1,alto
7.1,54,4,0,alto
5.6,64,3,1,alto
5.0,63,0,1,alto
